country1,country2,Year,type,asymmetry
USA,CAN,1984,sector,1
USA,CAN,1994,general,1
USA,CAN,1996,sector,1
USA,CAN,1996,sector,0
USA,CAN,1999,sector,0
USA,CAN,2002,general,1
USA,COL,2009,sector,0
USA,COL,2009,general,1
USA,BRA,1983,general,0
USA,BRA,1984,general,1
USA,BRA,2010,general,0
USA,PAR,2006,general,0
USA,CHL,1996,general,1
USA,CHL,2008,sector,0
USA,ARG,1992,sector,1
USA,ARG,1998,sector,0
USA,ARG,1999,sector,0
USA,ARG,2000,sector,0
USA,ARG,2008,sector,1
USA,UKG,1988,sector,0
USA,UKG,1993,general,0
USA,UKG,1994,sector,0
USA,UKG,1994,general,0
USA,UKG,2000,sector,0
USA,UKG,2004,general,0
USA,NTH,1998,sector,0
USA,LUX,2010,general,0
USA,FRN,1994,sector,0
USA,SWZ,1988,general,0
USA,SWZ,2007,general,0
USA,SPN,1980,sector,0
USA,SPN,1982,general,0
USA,SPN,1988,general,1
USA,SPN,2002,general,0
USA,SPN,2002,general,1
USA,POR,1995,general,2
USA,GER,1995,sector,0
USA,GER,2009,sector,1
USA,POL,1995,sector,0
USA,AUS,1991,sector,0
USA,HUN,1995,sector,0
USA,CZR,1996,sector,1
USA,CZR,2008,sector,0
USA,CZR,2009,sector,1
USA,SLO,1994,sector,0
USA,SLO,1995,sector,1
USA,ITA,2006,sector,0
USA,ITA,2008,general,0
USA,ALB,1993,general,1
USA,ALB,2003,general,2
USA,MAC,2004,general,2
USA,CRO,1994,general,0
USA,CRO,1995,sector,1
USA,CRO,2003,general,2
USA,YUG,2006,general,2
USA,BOS,2005,general,2
USA,BOS,2008,sector,1
USA,SLV,1995,general,1
USA,SLV,1999,general,2
USA,GRC,1983,general,1
USA,GRC,1986,general,1
USA,GRC,1990,general,1
USA,BUL,1994,general,1
USA,BUL,2006,general,1
USA,MLD,1995,general,1
USA,MLD,1997,general,1
USA,ROM,1998,general,1
USA,EST,2002,general,1
USA,LAT,1995,general,0
USA,LIT,1994,general,1
USA,LIT,1997,sector,0
USA,LIT,2009,general,1
USA,UKR,1993,general,1
USA,UKR,2000,sector,0
USA,BLR,1993,sector,1
USA,ARM,2001,general,0
USA,ARM,2002,general,0
USA,ARM,2003,general,0
USA,GRG,1997,general,1
USA,GRG,1998,general,0
USA,GRG,2002,general,1
USA,GRG,2005,sector,1
USA,AZE,1999,general,1
USA,AZE,2000,general,0
USA,AZE,2000,sector,0
USA,AZE,2002,general,1
USA,FIN,1991,general,0
USA,FIN,1995,sector,0
USA,FIN,2005,general,0
USA,FIN,2008,general,0
USA,SWD,1987,general,1
USA,SWD,1997,sector,0
USA,SWD,1997,sector,0
USA,SWD,1999,sector,0
USA,DEN,1980,general,0
USA,BEN,1996,sector,1
USA,GAB,2006,sector,0
USA,RWA,2004,sector,0
USA,ZAM,1992,sector,1
USA,SAF,2001,sector,0
USA,MOR,1982,sector,1
USA,ALG,2010,general,1
USA,TUR,1980,general,0
USA,TUR,1980,general,2
USA,TUR,1981,sector,0
USA,TUR,1982,general,0
USA,EGY,1988,general,0
USA,EGY,1998,sector,0
USA,ISR,1987,general,0
USA,ISR,1988,sector,1
USA,ISR,1989,sector,0
USA,ISR,1996,sector,0
USA,ISR,1998,general,1
USA,SAU,1982,sector,0
USA,SAU,1999,sector,1
USA,YEM,2009,sector,0
USA,KUW,1991,general,1
USA,BAH,1991,general,1
USA,QAT,1992,general,1
USA,UAE,1994,general,1
USA,UZB,1998,general,0
USA,UZB,2000,general,0
USA,UZB,2001,general,1
USA,UZB,2009,sector,1
USA,KZK,1996,sector,1
USA,KZK,1997,general,1
USA,KZK,2002,sector,1
USA,MON,1996,sector,2
USA,ROK,1988,general,0
USA,ROK,1991,sector,0
USA,ROK,1996,sector,0
USA,ROK,2009,sector,0
USA,JPN,1983,general,1
USA,JPN,1990,sector,0
USA,IND,1991,sector,0
USA,IND,1995,general,0
USA,IND,2004,sector,0
USA,IND,2005,general,0
USA,IND,2006,sector,1
USA,PAK,1995,sector,1
USA,BNG,1989,sector,1
USA,SIN,1995,sector,0
USA,SIN,1998,sector,0
USA,SIN,2003,sector,1
USA,SIN,2005,general,1
USA,BRU,1994,general,1
