Country Code,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
ABW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFE,3.744559806,3.846586953,3.968381406,3.968658515,3.976300489,3.893673622,4.10130549,4.04650549,4.378748952,4.342689628,4.148279084,3.587643703,2.838008183,3.101741948,2.617658077,2.139542957,1.831230994,1.826008236,1.827185667,2.277841735,2.003120463,1.95973493,2.023797737,1.770485937,1.863809283,1.675980069,1.704305011,1.666514344,1.929370573,1.914091841,1.535153944
AFG,,,,,,,,,,,,,,,,,,,,,,,,,2.431253787,1.992065699,1.896233996,2.566267352,2.335545702,2.087412553,1.945835694
AFW,2.488962277,2.496686256,2.106503721,2.093106425,1.600645296,1.549023085,1.519547806,1.235774003,1.290564893,1.133921507,1.153105447,1.137532809,1.109824245,1.249678463,0.961757811,0.641819992,0.538495878,0.560893136,0.646377777,1.002278007,0.840603005,1.047133485,1.121486089,0.918267937,0.849750315,0.68162968,0.647036024,0.702778408,0.828197026,0.921067617,0.832850146
AGO,,,,,,1.72E-05,1.73E-05,22.25,21.9805,19.43233333,17.46366667,7.1025,5.682830543,17.52258908,5.709280691,4.707392768,2.447848157,5.972268207,2.642011881,17.33469221,6.392603154,4.524353815,2.869932445,3.761479074,3.471180187,3.692240947,3.761495305,3.114054493,3.573120381,4.709610048,4.177584522
ALB,6.052021633,5.848317053,5.651595745,5.44128199,6.117504543,5.651426199,5.626186504,5.862228923,5.617316628,5.167612724,5.88830072,5.791270422,4.670887824,3.199451067,2.54781906,2.053587359,1.379029627,1.28308078,1.238242561,1.249210099,1.246360242,1.309291375,1.320034494,1.336842924,1.381157942,1.350004971,1.567769089,1.820765344,1.984868857,1.51721714,1.558591893
AND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARB,8.017569722,9.210380511,11.15003102,11.04783873,11.54027689,10.38701106,,8.565454081,8.061225735,,,10.75188152,8.590834631,7.834841019,7.388907373,6.586358644,6.010140515,6.566794508,7.470165801,6.455886586,6.357173964,6.328276697,5.812903359,5.387565667,5.021794466,4.555601023,4.304079335,4.445036937,4.129745787,5.222358323,4.971477636
ARE,,,,,,,,,,,,,,,,,,6.759061481,8.62972121,7.669537998,8.323722245,5.612105523,4.875531805,4.692306267,4.61147764,3.656470678,3.225974473,3.28052137,3.668022649,5.457107773,6.038592208
ARG,3.098958333,3.465346535,2.704557935,2.738812785,2.162039144,2.299717248,2.313678749,2.28438688,2.124939223,1.880365592,1.450909212,1.506926555,1.421222233,1.422802901,1.457038533,1.473073107,1.241227264,1.140139111,1.136318022,1.220359548,1.148822677,1.184233542,1.091880479,1.060895057,0.883295359,0.847154784,0.788233877,0.792548175,0.762756475,0.886508577,0.814878105
