"Year","country","military_spending_to_GDP"
1980,"AFE",3.744559806
1981,"AFE",3.846586953
1982,"AFE",3.968381406
1983,"AFE",3.968658515
1984,"AFE",3.976300489
1985,"AFE",3.893673622
1986,"AFE",4.10130549
1987,"AFE",4.04650549
1988,"AFE",4.378748952
1989,"AFE",4.342689628
1990,"AFE",4.148279084
1991,"AFE",3.587643703
1992,"AFE",2.838008183
1993,"AFE",3.101741948
1994,"AFE",2.617658077
1995,"AFE",2.139542957
1996,"AFE",1.831230994
1997,"AFE",1.826008236
1998,"AFE",1.827185667
1999,"AFE",2.277841735
2000,"AFE",2.003120463
2001,"AFE",1.95973493
2002,"AFE",2.023797737
2003,"AFE",1.770485937
2004,"AFE",1.863809283
2005,"AFE",1.675980069
2006,"AFE",1.704305011
2007,"AFE",1.666514344
2008,"AFE",1.929370573
2009,"AFE",1.914091841
2010,"AFE",1.535153944
2004,"AFG",2.431253787
2005,"AFG",1.992065699
2006,"AFG",1.896233996
2007,"AFG",2.566267352
2008,"AFG",2.335545702
2009,"AFG",2.087412553
2010,"AFG",1.945835694
1980,"AFW",2.488962277
1981,"AFW",2.496686256
1982,"AFW",2.106503721
1983,"AFW",2.093106425
1984,"AFW",1.600645296
1985,"AFW",1.549023085
1986,"AFW",1.519547806
1987,"AFW",1.235774003
1988,"AFW",1.290564893
1989,"AFW",1.133921507
1990,"AFW",1.153105447
1991,"AFW",1.137532809
1992,"AFW",1.109824245
1993,"AFW",1.249678463
1994,"AFW",0.961757811
1995,"AFW",0.641819992
1996,"AFW",0.538495878
1997,"AFW",0.560893136
1998,"AFW",0.646377777
1999,"AFW",1.002278007
2000,"AFW",0.840603005
2001,"AFW",1.047133485
2002,"AFW",1.121486089
2003,"AFW",0.918267937
2004,"AFW",0.849750315
2005,"AFW",0.68162968
2006,"AFW",0.647036024
2007,"AFW",0.702778408
2008,"AFW",0.828197026
2009,"AFW",0.921067617
2010,"AFW",0.832850146
1985,"AGO",1.72e-05
1986,"AGO",1.73e-05
1987,"AGO",22.25
1988,"AGO",21.9805
1989,"AGO",19.43233333
1990,"AGO",17.46366667
1991,"AGO",7.1025
1992,"AGO",5.682830543
1993,"AGO",17.52258908
1994,"AGO",5.709280691
1995,"AGO",4.707392768
1996,"AGO",2.447848157
1997,"AGO",5.972268207
1998,"AGO",2.642011881
1999,"AGO",17.33469221
2000,"AGO",6.392603154
2001,"AGO",4.524353815
2002,"AGO",2.869932445
2003,"AGO",3.761479074
2004,"AGO",3.471180187
2005,"AGO",3.692240947
2006,"AGO",3.761495305
2007,"AGO",3.114054493
2008,"AGO",3.573120381
2009,"AGO",4.709610048
2010,"AGO",4.177584522
1980,"ALB",6.052021633
1981,"ALB",5.848317053
1982,"ALB",5.651595745
1983,"ALB",5.44128199
1984,"ALB",6.117504543
1985,"ALB",5.651426199
1986,"ALB",5.626186504
1987,"ALB",5.862228923
1988,"ALB",5.617316628
1989,"ALB",5.167612724
1990,"ALB",5.88830072
1991,"ALB",5.791270422
1992,"ALB",4.670887824
1993,"ALB",3.199451067
1994,"ALB",2.54781906
1995,"ALB",2.053587359
1996,"ALB",1.379029627
1997,"ALB",1.28308078
1998,"ALB",1.238242561
1999,"ALB",1.249210099
2000,"ALB",1.246360242
2001,"ALB",1.309291375
2002,"ALB",1.320034494
2003,"ALB",1.336842924
2004,"ALB",1.381157942
2005,"ALB",1.350004971
2006,"ALB",1.567769089
2007,"ALB",1.820765344
2008,"ALB",1.984868857
2009,"ALB",1.51721714
2010,"ALB",1.558591893
1980,"ARB",8.017569722
1981,"ARB",9.210380511
1982,"ARB",11.15003102
1983,"ARB",11.04783873
1984,"ARB",11.54027689
1985,"ARB",10.38701106
1987,"ARB",8.565454081
1988,"ARB",8.061225735
1991,"ARB",10.75188152
1992,"ARB",8.590834631
1993,"ARB",7.834841019
1994,"ARB",7.388907373
1995,"ARB",6.586358644
1996,"ARB",6.010140515
1997,"ARB",6.566794508
1998,"ARB",7.470165801
1999,"ARB",6.455886586
2000,"ARB",6.357173964
2001,"ARB",6.328276697
2002,"ARB",5.812903359
2003,"ARB",5.387565667
2004,"ARB",5.021794466
2005,"ARB",4.555601023
2006,"ARB",4.304079335
2007,"ARB",4.445036937
2008,"ARB",4.129745787
2009,"ARB",5.222358323
2010,"ARB",4.971477636
1997,"ARE",6.759061481
1998,"ARE",8.62972121
1999,"ARE",7.669537998
2000,"ARE",8.323722245
2001,"ARE",5.612105523
2002,"ARE",4.875531805
2003,"ARE",4.692306267
2004,"ARE",4.61147764
2005,"ARE",3.656470678
2006,"ARE",3.225974473
2007,"ARE",3.28052137
2008,"ARE",3.668022649
2009,"ARE",5.457107773
2010,"ARE",6.038592208
1980,"ARG",3.098958333
1981,"ARG",3.465346535
1982,"ARG",2.704557935
1983,"ARG",2.738812785
1984,"ARG",2.162039144
1985,"ARG",2.299717248
1986,"ARG",2.313678749
1987,"ARG",2.28438688
1988,"ARG",2.124939223
1989,"ARG",1.880365592
1990,"ARG",1.450909212
1991,"ARG",1.506926555
1992,"ARG",1.421222233
1993,"ARG",1.422802901
1994,"ARG",1.457038533
1995,"ARG",1.473073107
1996,"ARG",1.241227264
1997,"ARG",1.140139111
1998,"ARG",1.136318022
1999,"ARG",1.220359548
2000,"ARG",1.148822677
2001,"ARG",1.184233542
2002,"ARG",1.091880479
2003,"ARG",1.060895057
2004,"ARG",0.883295359
2005,"ARG",0.847154784
2006,"ARG",0.788233877
2007,"ARG",0.792548175
2008,"ARG",0.762756475
2009,"ARG",0.886508577
2010,"ARG",0.814878105
1992,"ARM",2.203389831
1993,"ARM",2.296644333
1995,"ARM",4.059311908
1996,"ARM",3.281867004
1997,"ARM",3.90939856
1998,"ARM",3.528096003
1999,"ARM",3.697374231
2000,"ARM",3.560024873
2001,"ARM",3.127249385
2002,"ARM",2.697714749
2003,"ARM",2.728372214
2004,"ARM",2.741996705
2005,"ARM",2.871931363
2006,"ARM",2.947613156
2007,"ARM",3.042574701
2008,"ARM",3.395579363
2009,"ARM",4.157049908
2010,"ARM",4.265646056
1980,"AUS",2.248956904
1981,"AUS",2.296601945
1982,"AUS",2.393265216
1983,"AUS",2.519811819
1984,"AUS",2.505233651
1985,"AUS",2.523268379
1986,"AUS",2.540429752
1987,"AUS",2.372988832
1988,"AUS",2.161814883
1989,"AUS",2.051827509
1990,"AUS",2.07590586
1991,"AUS",2.168042858
1992,"AUS",2.16874608
1993,"AUS",2.178029886
1994,"AUS",2.116598589
1995,"AUS",2.021312568
1996,"AUS",1.930440067
1997,"AUS",1.867334395
1998,"AUS",1.871121813
1999,"AUS",1.889235741
2000,"AUS",1.829841913
2001,"AUS",1.870093879
2002,"AUS",1.873964621
2003,"AUS",1.846289689
2004,"AUS",1.827410769
2005,"AUS",1.80249268
2006,"AUS",1.822330926
2007,"AUS",1.812273234
2008,"AUS",1.796688089
2009,"AUS",1.923938334
2010,"AUS",1.852928258
1980,"AUT",1.420246106
1981,"AUT",1.380051733
1982,"AUT",1.41299673
1983,"AUT",1.391175884
1984,"AUT",1.414158336
1985,"AUT",1.512623567
1986,"AUT",1.508758541
1987,"AUT",1.416677903
1988,"AUT",1.299181144
1989,"AUT",1.234154925
1990,"AUT",1.195660267
1991,"AUT",1.154217118
1992,"AUT",1.099214072
1993,"AUT",1.115584541
1994,"AUT",1.094453076
1995,"AUT",1.073232052
1996,"AUT",1.049682977
1997,"AUT",1.046433982
1998,"AUT",1.018072863
1999,"AUT",0.980246123
2000,"AUT",0.98031858
2001,"AUT",0.908240041
2002,"AUT",0.883527837
2003,"AUT",0.913640319
2004,"AUT",0.893480466
2005,"AUT",0.850142574
2006,"AUT",0.785813244
2007,"AUT",0.900457173
2008,"AUT",0.870705123
2009,"AUT",0.833379565
2010,"AUT",0.821232712
1992,"AZE",2.400225621
1993,"AZE",5.000467786
1994,"AZE",1.94658459
1995,"AZE",2.736901303
1996,"AZE",2.254230341
1997,"AZE",2.324049799
1998,"AZE",2.412355913
1999,"AZE",2.625109931
2000,"AZE",2.267862063
2001,"AZE",2.312062608
2002,"AZE",2.24331377
2003,"AZE",2.426362555
2004,"AZE",2.629481138
2005,"AZE",2.299069675
2006,"AZE",3.417759333
2007,"AZE",2.864194919
2008,"AZE",3.291211146
2009,"AZE",3.325421682
2010,"AZE",2.791004357
1980,"BDI",2.918803369
1981,"BDI",3.030330243
1982,"BDI",3.50702489
1983,"BDI",3.104808926
1984,"BDI",2.975400785
1985,"BDI",2.751172646
1986,"BDI",2.805413158
1987,"BDI",2.649139912
1988,"BDI",3.145245149
1989,"BDI",3.349522133
1990,"BDI",3.448712473
1991,"BDI",3.786270865
1992,"BDI",3.595637948
1993,"BDI",3.72027582
1994,"BDI",3.921111198
1995,"BDI",4.209072899
1996,"BDI",5.856884919
1997,"BDI",6.359652961
1998,"BDI",6.572272507
1999,"BDI",6.257643657
2000,"BDI",4.862402213
2001,"BDI",6.071737158
2002,"BDI",5.441678859
2003,"BDI",5.533435389
2004,"BDI",4.903266843
2005,"BDI",4.436190041
2006,"BDI",3.511718452
2007,"BDI",3.414595248
2008,"BDI",2.720890527
1980,"BEL",3.250195386
1981,"BEL",3.366049436
1982,"BEL",3.269944591
1983,"BEL",3.19141317
1984,"BEL",3.007902449
1985,"BEL",2.931233854
1986,"BEL",2.953772624
1987,"BEL",2.901794793
1988,"BEL",2.628748416
1989,"BEL",2.460854324
1990,"BEL",2.355440459
1991,"BEL",2.287692847
1992,"BEL",1.83233253
1993,"BEL",1.735965893
1994,"BEL",1.67714315
1995,"BEL",1.565752151
1996,"BEL",1.540102651
1997,"BEL",1.476975796
1998,"BEL",1.463919265
1999,"BEL",1.385835559
2000,"BEL",1.341210276
2001,"BEL",1.276504166
2002,"BEL",1.215712208
2003,"BEL",1.214988156
2004,"BEL",1.149272139
2005,"BEL",1.096641182
2006,"BEL",1.056123069
2007,"BEL",1.098018764
2008,"BEL",1.221914517
2009,"BEL",1.167768437
2010,"BEL",1.090488217
1980,"BEN",2.031651419
1981,"BEN",1.551371319
1982,"BEN",1.04929865
1983,"BEN",1.188970677
1984,"BEN",1.45869894
1985,"BEN",1.304931932
1986,"BEN",1.35509654
1987,"BEN",1.5695985
1988,"BEN",1.564091205
1989,"BEN",1.307896061
1990,"BEN",1.225157121
1999,"BEN",0.48538923
2000,"BEN",0.412852302
2001,"BEN",0.357971127
2002,"BEN",0.622819458
2003,"BEN",0.647223227
2004,"BEN",0.67614985
2005,"BEN",0.680970685
2006,"BEN",0.665723324
2008,"BEN",0.66395898
1980,"BFA",2.746691176
1981,"BFA",2.842689698
1982,"BFA",3.003303634
1983,"BFA",2.932183416
1984,"BFA",3.017167437
1985,"BFA",1.836525411
1986,"BFA",2.621893491
1987,"BFA",2.252586462
1988,"BFA",2.310812644
1989,"BFA",2.740774077
1990,"BFA",2.704892966
1991,"BFA",2.166869267
1992,"BFA",2.049651568
1993,"BFA",1.862529885
1994,"BFA",1.422884729
1995,"BFA",1.383042694
1996,"BFA",1.28708847
1997,"BFA",1.417055045
1998,"BFA",1.27636264
1999,"BFA",1.385531386
2000,"BFA",1.238046381
2001,"BFA",1.155515024
2002,"BFA",1.177934977
2003,"BFA",1.073055338
2004,"BFA",1.207005766
2005,"BFA",1.201894848
2006,"BFA",1.110321797
2007,"BFA",1.415726528
2008,"BFA",1.242912608
2009,"BFA",1.352764976
2010,"BFA",1.224785543
1980,"BGD",0.857420859
1981,"BGD",0.915831691
1982,"BGD",1.060869685
1983,"BGD",1.270673712
1984,"BGD",1.17804196
1985,"BGD",1.054272784
1986,"BGD",1.112191676
1987,"BGD",1.168232539
1988,"BGD",1.246388097
1989,"BGD",1.290861801
1990,"BGD",1.223165026
1991,"BGD",1.214422802
1992,"BGD",1.36050315
1993,"BGD",1.429390515
1994,"BGD",1.529023664
1995,"BGD",1.566693141
1996,"BGD",1.539073594
1997,"BGD",1.571667926
1998,"BGD",1.567535198
1999,"BGD",1.584834391
2000,"BGD",1.357119181
2001,"BGD",1.288422776
2002,"BGD",1.048366463
2003,"BGD",1.002633098
2004,"BGD",0.998859774
2005,"BGD",0.97281009
2006,"BGD",0.989838837
2007,"BGD",0.997091964
2008,"BGD",0.938215292
2009,"BGD",1.028939548
2010,"BGD",1.184384017
1989,"BGR",4.39627075
1990,"BGR",3.83344349
1991,"BGR",3.043231573
1992,"BGR",2.972633843
1993,"BGR",2.609271612
1994,"BGR",2.492617286
1995,"BGR",2.374131284
1996,"BGR",2.402934109
1997,"BGR",2.430701355
1998,"BGR",2.453059147
1999,"BGR",2.645171956
2000,"BGR",2.652455762
2001,"BGR",2.862519544
2002,"BGR",2.779676555
2003,"BGR",2.691201472
2004,"BGR",2.373711682
2005,"BGR",2.235350267
2006,"BGR",2.081761908
2007,"BGR",2.228539901
2008,"BGR",2.131863983
2009,"BGR",1.739511501
2010,"BGR",1.642679166
1980,"BHR",5.698891307
1981,"BHR",6.902581566
1982,"BHR",8.535161949
1983,"BHR",4.790336018
1984,"BHR",4.179305696
1985,"BHR",4.588158182
1986,"BHR",5.837762481
1987,"BHR",5.253253881
1988,"BHR",5.603045758
1989,"BHR",5.644661664
1990,"BHR",5.284791544
1991,"BHR",5.703750648
1992,"BHR",5.878071992
1993,"BHR",5.369855167
1994,"BHR",5.111302188
1995,"BHR",5.18323179
1996,"BHR",5.273939764
1997,"BHR",5.068487413
1998,"BHR",5.333103953
1999,"BHR",5.503621544
2000,"BHR",3.961670969
2001,"BHR",4.148081632
2002,"BHR",4.611106606
2003,"BHR",4.658832803
2004,"BHR",4.044928848
2005,"BHR",3.214381095
2006,"BHR",3.102947728
2007,"BHR",2.956990234
2008,"BHR",2.800161369
