"Year","country","military_spending_to_GDP"
2004,"AFG",2.431253787
2005,"AFG",1.992065699
2006,"AFG",1.896233996
2007,"AFG",2.566267352
2008,"AFG",2.335545702
2009,"AFG",2.087412553
2010,"AFG",1.945835694
1980,"ALB",6.052021633
1981,"ALB",5.848317053
1982,"ALB",5.651595745
1983,"ALB",5.44128199
1984,"ALB",6.117504543
1985,"ALB",5.651426199
1986,"ALB",5.626186504
1987,"ALB",5.862228923
1988,"ALB",5.617316628
1989,"ALB",5.167612724
1990,"ALB",5.88830072
1991,"ALB",5.791270422
1992,"ALB",4.670887824
1993,"ALB",3.199451067
1994,"ALB",2.54781906
1995,"ALB",2.053587359
1996,"ALB",1.379029627
1997,"ALB",1.28308078
1998,"ALB",1.238242561
1999,"ALB",1.249210099
2000,"ALB",1.246360242
2001,"ALB",1.309291375
2002,"ALB",1.320034494
2003,"ALB",1.336842924
2004,"ALB",1.381157942
2005,"ALB",1.350004971
2006,"ALB",1.567769089
2007,"ALB",1.820765344
2008,"ALB",1.984868857
2009,"ALB",1.51721714
2010,"ALB",1.558591893
1980,"ARG",3.098958333
1981,"ARG",3.465346535
1982,"ARG",2.704557935
1983,"ARG",2.738812785
1984,"ARG",2.162039144
1985,"ARG",2.299717248
1986,"ARG",2.313678749
1987,"ARG",2.28438688
1988,"ARG",2.124939223
1989,"ARG",1.880365592
1990,"ARG",1.450909212
1991,"ARG",1.506926555
1992,"ARG",1.421222233
1993,"ARG",1.422802901
1994,"ARG",1.457038533
1995,"ARG",1.473073107
1996,"ARG",1.241227264
1997,"ARG",1.140139111
1998,"ARG",1.136318022
1999,"ARG",1.220359548
2000,"ARG",1.148822677
2001,"ARG",1.184233542
2002,"ARG",1.091880479
2003,"ARG",1.060895057
2004,"ARG",0.883295359
2005,"ARG",0.847154784
2006,"ARG",0.788233877
2007,"ARG",0.792548175
2008,"ARG",0.762756475
2009,"ARG",0.886508577
2010,"ARG",0.814878105
1992,"ARM",2.203389831
1993,"ARM",2.296644333
1995,"ARM",4.059311908
1996,"ARM",3.281867004
1997,"ARM",3.90939856
1998,"ARM",3.528096003
1999,"ARM",3.697374231
2000,"ARM",3.560024873
2001,"ARM",3.127249385
2002,"ARM",2.697714749
2003,"ARM",2.728372214
2004,"ARM",2.741996705
2005,"ARM",2.871931363
2006,"ARM",2.947613156
2007,"ARM",3.042574701
2008,"ARM",3.395579363
2009,"ARM",4.157049908
2010,"ARM",4.265646056
1980,"AUS",2.248956904
1981,"AUS",2.296601945
1982,"AUS",2.393265216
1983,"AUS",2.519811819
1984,"AUS",2.505233651
1985,"AUS",2.523268379
1986,"AUS",2.540429752
1987,"AUS",2.372988832
1988,"AUS",2.161814883
1989,"AUS",2.051827509
1990,"AUS",2.07590586
1991,"AUS",2.168042858
1992,"AUS",2.16874608
1993,"AUS",2.178029886
1994,"AUS",2.116598589
1995,"AUS",2.021312568
1996,"AUS",1.930440067
1997,"AUS",1.867334395
1998,"AUS",1.871121813
1999,"AUS",1.889235741
2000,"AUS",1.829841913
2001,"AUS",1.870093879
2002,"AUS",1.873964621
2003,"AUS",1.846289689
2004,"AUS",1.827410769
2005,"AUS",1.80249268
2006,"AUS",1.822330926
2007,"AUS",1.812273234
2008,"AUS",1.796688089
2009,"AUS",1.923938334
2010,"AUS",1.852928258
1992,"AZE",2.400225621
1993,"AZE",5.000467786
1994,"AZE",1.94658459
1995,"AZE",2.736901303
1996,"AZE",2.254230341
1997,"AZE",2.324049799
1998,"AZE",2.412355913
1999,"AZE",2.625109931
2000,"AZE",2.267862063
2001,"AZE",2.312062608
2002,"AZE",2.24331377
2003,"AZE",2.426362555
2004,"AZE",2.629481138
2005,"AZE",2.299069675
2006,"AZE",3.417759333
2007,"AZE",2.864194919
2008,"AZE",3.291211146
2009,"AZE",3.325421682
2010,"AZE",2.791004357
1980,"BEL",3.250195386
1981,"BEL",3.366049436
1982,"BEL",3.269944591
1983,"BEL",3.19141317
1984,"BEL",3.007902449
1985,"BEL",2.931233854
1986,"BEL",2.953772624
1987,"BEL",2.901794793
1988,"BEL",2.628748416
1989,"BEL",2.460854324
1990,"BEL",2.355440459
1991,"BEL",2.287692847
1992,"BEL",1.83233253
1993,"BEL",1.735965893
1994,"BEL",1.67714315
1995,"BEL",1.565752151
1996,"BEL",1.540102651
1997,"BEL",1.476975796
1998,"BEL",1.463919265
1999,"BEL",1.385835559
2000,"BEL",1.341210276
2001,"BEL",1.276504166
2002,"BEL",1.215712208
2003,"BEL",1.214988156
2004,"BEL",1.149272139
2005,"BEL",1.096641182
2006,"BEL",1.056123069
2007,"BEL",1.098018764
2008,"BEL",1.221914517
2009,"BEL",1.167768437
2010,"BEL",1.090488217
1980,"BEN",2.031651419
1981,"BEN",1.551371319
1982,"BEN",1.04929865
1983,"BEN",1.188970677
1984,"BEN",1.45869894
1985,"BEN",1.304931932
1986,"BEN",1.35509654
1987,"BEN",1.5695985
1988,"BEN",1.564091205
1989,"BEN",1.307896061
1990,"BEN",1.225157121
1999,"BEN",0.48538923
2000,"BEN",0.412852302
2001,"BEN",0.357971127
2002,"BEN",0.622819458
2003,"BEN",0.647223227
2004,"BEN",0.67614985
2005,"BEN",0.680970685
2006,"BEN",0.665723324
2008,"BEN",0.66395898
1992,"BLR",1.622498648
1993,"BLR",2.790971461
1994,"BLR",3.621608255
1995,"BLR",1.699463769
1996,"BLR",1.26069256
1997,"BLR",1.768966551
1998,"BLR",1.495098702
1999,"BLR",1.366760738
2000,"BLR",1.346984151
2001,"BLR",1.438290747
2002,"BLR",1.400245801
2003,"BLR",1.2990639
2004,"BLR",1.358222314
2005,"BLR",1.498453135
2006,"BLR",1.709412492
2007,"BLR",1.649765914
2008,"BLR",1.453492852
2009,"BLR",1.372576981
2010,"BLR",1.341383433
1981,"BLZ",1.158969928
1982,"BLZ",1.437587169
1983,"BLZ",1.534381036
1984,"BLZ",1.543918919
1985,"BLZ",1.559825996
1989,"BLZ",1.199332232
1990,"BLZ",0.867929439
1991,"BLZ",0.79021233
1992,"BLZ",0.763108824
1993,"BLZ",0.816419366
1994,"BLZ",1.023677279
1995,"BLZ",0.98365003
1996,"BLZ",0.93555276
1997,"BLZ",1.082512145
2000,"BLZ",0.637640601
2001,"BLZ",0.640861919
2002,"BLZ",0.635154453
2003,"BLZ",0.658829265
2004,"BLZ",0.682599472
2005,"BLZ",0.732853762
2006,"BLZ",0.776926086
2007,"BLZ",0.811211022
2008,"BLZ",1.082517387
2009,"BLZ",1.027406026
2010,"BLZ",0.882120948
1980,"BOL",3.172399893
1981,"BOL",3.902203322
1982,"BOL",1.9818473
1983,"BOL",1.499320703
1984,"BOL",2.170841736
1985,"BOL",2.013992525
1986,"BOL",2.345549228
1987,"BOL",2.377263176
1988,"BOL",2.02098132
1989,"BOL",2.1562887
1990,"BOL",2.815883319
1991,"BOL",2.688324857
1992,"BOL",2.506118833
1993,"BOL",1.91634981
1994,"BOL",2.250301234
1995,"BOL",2.096162258
1996,"BOL",1.986807543
1997,"BOL",2.273610301
1998,"BOL",2.69111086
1999,"BOL",2.133287095
2000,"BOL",2.062971513
2001,"BOL",2.320446744
2002,"BOL",1.990333715
2003,"BOL",2.145483398
2004,"BOL",1.896503305
2005,"BOL",1.717004423
2006,"BOL",1.466226984
2007,"BOL",1.489047584
2008,"BOL",1.961776603
2009,"BOL",1.761360756
2010,"BOL",1.707905055
1980,"BRA",1.138434421
1981,"BRA",1.143148768
1982,"BRA",1.303534361
1983,"BRA",1.254580323
1984,"BRA",1.199541045
1985,"BRA",1.429523122
1986,"BRA",1.220388728
1987,"BRA",1.743994031
1988,"BRA",2.118072205
1989,"BRA",2.68625
1990,"BRA",2.363841025
1991,"BRA",1.963333333
1992,"BRA",1.521528861
1993,"BRA",1.927922815
1994,"BRA",2.016007789
1995,"BRA",1.86213698
1996,"BRA",1.6548435
1997,"BRA",1.577688316
1998,"BRA",1.66229192
1999,"BRA",1.645474667
2000,"BRA",1.730726147
2001,"BRA",1.951882445
2002,"BRA",1.895771199
2003,"BRA",1.503477636
2004,"BRA",1.461268409
2005,"BRA",1.524013393
2006,"BRA",1.481084895
2007,"BRA",1.4662921
2008,"BRA",1.441924093
2009,"BRA",1.538625697
2010,"BRA",1.539406981
1980,"CAN",1.764448615
1981,"CAN",1.709915638
1982,"CAN",1.954343585
1983,"CAN",2.081196249
1984,"CAN",2.117188855
1985,"CAN",2.097376234
1986,"CAN",2.109197118
1987,"CAN",2.062576371
1988,"CAN",1.986767119
1989,"CAN",1.934614309
1990,"CAN",1.958793742
1991,"CAN",1.895444339
1992,"CAN",1.8616877
1993,"CAN",1.821753504
1994,"CAN",1.696680257
1995,"CAN",1.554090071
1996,"CAN",1.403752581
1997,"CAN",1.246243202
1998,"CAN",1.256293902
1999,"CAN",1.241703064
2000,"CAN",1.114349802
2001,"CAN",1.133356283
2002,"CAN",1.116869147
2003,"CAN",1.111937307
2004,"CAN",1.104189391
2005,"CAN",1.107105424
2006,"CAN",1.122524729
2007,"CAN",1.18579023
2008,"CAN",1.245518367
2009,"CAN",1.377555631
2010,"CAN",1.194338338
1980,"CHL",6.48209287
1981,"CHL",7.022118889
1982,"CHL",8.877267738
1983,"CHL",7.575222602
1984,"CHL",7.605406176
1985,"CHL",6.900608611
1986,"CHL",6.288002199
1987,"CHL",5.638071075
1988,"CHL",4.13999608
1989,"CHL",3.590029509
1990,"CHL",3.401654859
1991,"CHL",2.849842767
1992,"CHL",2.628510469
1993,"CHL",2.706922937
1994,"CHL",2.597544983
1995,"CHL",2.562064629
1996,"CHL",2.449320898
1997,"CHL",2.498201924
1998,"CHL",2.589837226
1999,"CHL",2.713631594
2000,"CHL",2.688615886
2001,"CHL",2.647049152
2002,"CHL",2.531542942
2003,"CHL",2.70297151
2004,"CHL",2.712290407
2005,"CHL",2.534762993
2006,"CHL",2.506082143
2007,"CHL",2.330980634
2008,"CHL",2.583652259
2009,"CHL",2.276507868
2010,"CHL",2.254240915
1989,"CHN",2.447101315
1990,"CHN",2.454016116
1991,"CHN",2.311243412
1992,"CHN",2.449542068
1993,"CHN",1.928066874
1994,"CHN",1.693479599
1995,"CHN",1.686233887
1996,"CHN",1.65272667
1997,"CHN",1.632650673
1998,"CHN",1.655080691
1999,"CHN",1.871465914
2000,"CHN",1.835759685
2001,"CHN",1.983086244
2002,"CHN",2.059364653
2003,"CHN",1.996288936
2004,"CHN",1.938508233
2005,"CHN",1.871858023
2006,"CHN",1.869591636
2007,"CHN",1.750164585
2008,"CHN",1.716042546
2009,"CHN",1.893523796
2010,"CHN",1.733519862
1980,"COL",1.830121649
1981,"COL",1.755120362
1982,"COL",1.713850959
1983,"COL",2.219937527
1984,"COL",2.325894964
1985,"COL",2.054016609
1986,"COL",1.944619591
1987,"COL",1.983135416
1988,"COL",2.199244755
1989,"COL",2.188183807
1990,"COL",1.8601593
1991,"COL",1.853481783
1992,"COL",2.106677943
1993,"COL",2.525267018
1994,"COL",2.508407013
1995,"COL",2.831626581
1996,"COL",4.445393254
1997,"COL",2.801787886
1998,"COL",3.440985742
1999,"COL",3.762742058
2000,"COL",3.031683539
2001,"COL",3.323872819
2002,"COL",3.417127624
2003,"COL",3.463988691
2004,"COL",3.465015174
2005,"COL",3.374679694
2006,"COL",3.295824991
2007,"COL",3.286301709
2008,"COL",3.737246986
2009,"COL",3.886963837
2010,"COL",3.636915046
2009,"CUB",3.380960052
2010,"CUB",3.326856112
1985,"CYP",1.270291696
1986,"CYP",1.577157899
1987,"CYP",5.391477698
1988,"CYP",5.700256029
1989,"CYP",5.369355098
1990,"CYP",7.374035613
1991,"CYP",7.264776122
1992,"CYP",9.129286044
1993,"CYP",4.074952605
1994,"CYP",4.023989196
1995,"CYP",3.041034215
1996,"CYP",4.524714829
1997,"CYP",5.57391077
1998,"CYP",4.676317946
1999,"CYP",2.73385097
2000,"CYP",2.822090151
2001,"CYP",3.153222159
2002,"CYP",2.130160735
2003,"CYP",1.985163124
2004,"CYP",1.955769162
2005,"CYP",2.037469743
2006,"CYP",1.899997863
2007,"CYP",1.684599658
2008,"CYP",1.629704944
2009,"CYP",1.816819508
2010,"CYP",1.852924551
1993,"CZE",2.330404066
1994,"CZE",2.283400858
1995,"CZE",1.843622773
1996,"CZE",1.731904688
1997,"CZE",1.662045791
1998,"CZE",1.82593182
1999,"CZE",1.859069923
2000,"CZE",1.877356956
2001,"CZE",1.751249558
2002,"CZE",1.824406968
2003,"CZE",1.892764044
2004,"CZE",1.713703173
2005,"CZE",1.7788222
2006,"CZE",1.567835336
2007,"CZE",1.423716289
2008,"CZE",1.232471567
2009,"CZE",1.310564143
2010,"CZE",1.194772181
1980,"DJI",0.535539602
1981,"DJI",1.415326001
1982,"DJI",7.485064011
1983,"DJI",7.659693166
1991,"DJI",6.650884508
1992,"DJI",6.760028054
1993,"DJI",6.158737241
1994,"DJI",5.757444699
1995,"DJI",5.791646029
1996,"DJI",5.080478793
1997,"DJI",5.474986078
1998,"DJI",5.65087454
1999,"DJI",5.478089713
2000,"DJI",5.069101191
2004,"DJI",5.607179054
2005,"DJI",4.507756783
2006,"DJI",4.58763424
2007,"DJI",2.901074893
2008,"DJI",2.627582525
1980,"DOM",1.583543216
1981,"DOM",1.720128253
1982,"DOM",1.582040078
1983,"DOM",1.366505433
1984,"DOM",1.198895981
1985,"DOM",1.210052351
1986,"DOM",1.344154055
1987,"DOM",1.018139942
1988,"DOM",0.880047488
1989,"DOM",0.800367985
1990,"DOM",0.675729388
1991,"DOM",0.348155032
1992,"DOM",0.559086816
1993,"DOM",0.755070036
1994,"DOM",0.733765624
1995,"DOM",0.549477868
1996,"DOM",0.63365161
1997,"DOM",0.796926407
1998,"DOM",0.780062374
1999,"DOM",0.816243888
2000,"DOM",1.030096472
2001,"DOM",1.213496052
2002,"DOM",1.058919211
2003,"DOM",0.764145027
2004,"DOM",0.687618052
2005,"DOM",0.766536372
2006,"DOM",0.683423361
2007,"DOM",0.627619057
2008,"DOM",0.699861657
2009,"DOM",0.66746117
2010,"DOM",0.667531705
1980,"ECU",1.781224699
1981,"ECU",1.677840318
1982,"ECU",1.654002831
1983,"ECU",1.57477835
1984,"ECU",1.485232327
1985,"ECU",1.779738554
1986,"ECU",1.837386828
1987,"ECU",1.966316149
1988,"ECU",1.977626848
1989,"ECU",1.923989193
1990,"ECU",1.890323788
1991,"ECU",1.778360165
1992,"ECU",1.667206599
1993,"ECU",1.821421501
